Timestamps,Temperature_Bench1,Carbon Dioxide concentration_Bench1,Temperature_Ceiling1,is_anomaly,neg_log_anomaly_score
1543035511332,16.52,376.0,15.99,0.0,-10.811430343293994
1543035512331,16.52,376.0,15.99,0.0,-10.85199986432712
1543035513333,16.52,376.0,15.99,0.0,-9.182091769610857
1543035514337,16.52,376.0,15.98,0.0,-10.829453627301543
1543035515442,16.52,376.0,15.98,0.0,-9.333007884951186
1543035516640,16.52,376.0,15.97,0.0,-10.810642405535226
1543035517441,16.52,376.0,15.97,0.0,-10.832713317585599
1543035518338,16.52,376.0,15.97,0.0,-10.817640063402704
1543035519342,16.52,376.0,15.97,0.0,-9.203651174129032
1543035520344,16.52,376.0,15.96,0.0,-10.849746328439831
1543035521518,16.52,376.0,15.96,0.0,-10.832395851423936
1543035522718,16.52,376.0,15.96,0.0,-6.986184327136911
1543035523520,16.51,376.0,15.96,0.0,-10.823354835108262
1543035524348,16.51,376.0,15.96,0.0,-10.836402708574463
1543035525350,16.51,376.0,15.96,0.0,-10.850110218617369
1543035526441,16.51,376.0,15.96,0.0,-10.813912565151186
1543035527641,16.51,376.0,15.96,0.0,-8.320479752224863
1543035528441,16.51,377.0,15.96,0.0,-10.84427586670171
1543035529441,16.51,377.0,15.96,0.0,-9.282110375194138
1543035530441,16.51,377.0,15.95,0.0,-8.295726327519253
1543035531441,16.5,377.0,15.95,0.0,-10.835475445818693
1543035532519,16.5,377.0,15.95,0.0,-10.82458685624241
1543035533719,16.5,377.0,15.95,0.0,-10.832689361277383
1543035534522,16.5,377.0,15.95,0.0,-10.814620428322504
1543035535442,16.5,377.0,15.95,0.0,-10.83529605258096
1543035536442,16.5,377.0,15.95,0.0,-10.816743218125003
1543035537442,16.5,377.0,15.95,0.0,-9.302346735654668
1543035538642,16.5,377.0,15.94,0.0,-8.097501725658207
1543035539442,16.5,378.0,15.94,0.0,-10.82656339519449
1543035540445,16.5,378.0,15.94,0.0,-8.144502780230917
1543035541457,16.49,378.0,15.94,0.0,-10.836505587078308
1543035542498,16.49,378.0,15.94,0.0,-8.128828999800481
1543035543519,16.49,379.0,15.94,0.0,-10.847379757173835
1543035544719,16.49,379.0,15.94,0.0,-10.807270502590839
1543035545556,16.49,379.0,15.94,0.0,-10.804261407378704
