podkin_drova,timestamps,temp
False,1543021746706,109.53
False,1543021747523,109.49
True,1543021748554,109.56
True,1543021749563,109.55
True,1543021750613,109.59
True,1543021751634,109.58
True,1543021752803,109.59
True,1543021753699,109.59
True,1543021754699,109.53
True,1543021755714,109.55
True,1543021756755,109.56
True,1543021757754,109.54
True,1543021758903,109.52
True,1543021759523,109.5
True,1543021760555,109.51
True,1543021761554,109.51
True,1543021762600,109.48
True,1543021763955,109.49
True,1543021764600,109.47
True,1543021765603,109.45
True,1543021766600,109.47
True,1543021767601,109.48
True,1543021768703,109.45
True,1543021770064,109.5
True,1543021770704,109.48
True,1543021771601,109.49
True,1543021772603,109.51
True,1543021773601,109.49
True,1543021774802,109.48
True,1543021775601,109.42
True,1543021776602,109.44
True,1543021777602,109.46
True,1543021778600,109.46
True,1543021779705,109.45
True,1543021780903,109.45
True,1543021781704,109.48
True,1543021782602,109.44
True,1543021783600,109.45
True,1543021784603,109.46
True,1543021785803,109.42
True,1543021787003,109.47
True,1543021787802,109.44
True,1543021788603,109.43
True,1543021789603,109.46
True,1543021790705,109.47
True,1543021791905,109.47
True,1543021792705,109.43
True,1543021793602,109.41
True,1543021794604,109.38
True,1543021795602,109.41
True,1543021796802,109.43
True,1543021797635,109.47
True,1543021798378,109.47
True,1543021799704,109.42
True,1543021800724,109.42
True,1543021801756,109.37
True,1543021802907,109.42
True,1543021803814,109.38
True,1543021804834,109.39
True,1543021805845,109.39
True,1543021806605,109.37
True,1543021807957,109.37
True,1543021808956,109.38
True,1543021809612,109.38
True,1543021810604,109.35
True,1543021811610,109.34
True,1543021812706,109.37
True,1543021814044,109.36
True,1543021814708,109.35
True,1543021815631,109.34
True,1543021816610,109.34
True,1543021817617,109.32
True,1543021818802,109.34
True,1543021820157,109.32
True,1543021820806,109.32
True,1543021821626,109.3
True,1543021822624,109.29
True,1543021823707,109.29
True,1543021825266,109.29
True,1543021825706,109.27
True,1543021826629,109.31
True,1543021827632,109.27
True,1543021828647,109.27
True,1543021829801,109.29
True,1543021831002,109.27
True,1543021831800,109.25
True,1543021832644,109.27
True,1543021833704,109.29
True,1543021834705,109.29
True,1543021835904,109.28
True,1543021836715,109.3
True,1543021837703,109.25
True,1543021838704,109.24
True,1543021839704,109.23
True,1543021840800,109.2
True,1543021842003,109.19
True,1543021843203,109.16
True,1543021844006,109.24
True,1543021844911,109.21
True,1543021845705,109.2
True,1543021846911,109.18
True,1543021847706,109.18
True,1543021848726,109.18
True,1543021849758,109.15
True,1543021850758,109.17
True,1543021851806,109.18
True,1543021853008,109.18
True,1543021853845,109.16
True,1543021854856,109.17
True,1543021855902,109.21
True,1543021856902,109.2
True,1543021857916,109.19
True,1543021858958,109.19
True,1543021859958,109.21
True,1543021860965,109.21
True,1543021861705,109.18
True,1543021863035,109.2
True,1543021864055,109.17
True,1543021864803,109.15
True,1543021865702,109.2
True,1543021866706,109.12
True,1543021867708,109.15
True,1543021868914,109.14
True,1543021869707,109.12
True,1543021870707,109.15
True,1543021871705,109.16
True,1543021872705,109.12
True,1543021873803,109.14
True,1543021875003,109.11
True,1543021875802,109.11
True,1543021876709,109.11
True,1543021877711,109.11
True,1543021878715,109.08
True,1543021879558,109.09
True,1543021880716,109.11
True,1543021881757,109.1
True,1543021882758,109.09
True,1543021883725,109.1
True,1543021884803,109.04
True,1543021885559,109.08
True,1543021886804,109.08
True,1543021887758,109.06
True,1543021888757,109.03
True,1543021889646,109.06
True,1543021890906,109.05
True,1543021892104,109.09
True,1543021892904,109.09
True,1543021893803,109.06
True,1543021894801,109.08
True,1543021895800,109.1
True,1543021897002,109.05
True,1543021897837,109.05
True,1543021898857,109.03
True,1543021899903,108.99
True,1543021900903,109.04
True,1543021901909,109.0
True,1543021903105,109.0
True,1543021903958,109.01
True,1543021905203,109.03
True,1543021906108,108.99
